"Plug_number","Dry.weight","Wet.weight_time0","tank","position","Reef","Species","Colony","Notes_fragging","Temperature","Buoyant_weight_t0","Date_t0","Notes_t0","Buoyant_weight_t0_additional","Date_t0_additional","Notes_t0_additional","Buoyant_weight_t1","Date_t1","Notes_t1","Buoyant_weight_t1_additional","Date_t_1_additional","Notes_t_1_additional","Buoyant_weight_t2","Date_t2","Notes_t2","Buoyant_weight_t2_additional","Date_t2_additional","Notes_t2_additional","Buoyant_weight_t3","Date_t3","Notes_t3","Buoyant_weight_t3_additional","Date_t_3_additional","Notes_t_3_additional","X","Buoyant_weight_t4","Date_t4","Notes_t4","Buoyant_weight_t4_additional","Date_t4_additional","Notes_t4_additional","Buoyant_weight_t5","Date_t5","Notes_t5"
194,18.4007,NA,"19°C/1",3,"Kelso","Acropora hyacinthus",10,"",19,19.5281,"10/05/2021",NA,NA,"","",19.5556,"18/05/2021","",19.5877,"24/05/2021","Sampled because it was covered in algae and was starting to lose tissue",NA,"25/05/2021","",NA,"","",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
212,18.0853,NA,"19°C/1",4,"Kelso","Pocillopora verrucosa",12,"",19,25.5646,"10/05/2021",NA,NA,"","",25.6172,"18/05/2021","",NA,"","",25.6425,"25/05/2021","",NA,"","",25.6843,"7/06/2021","",NA,"","",NA,"25.7193","22/06/2021","","25.7326","5/07/2021","",NA,"",NA
189,19.456,NA,"19°C/1",5,"Kelso","Stylophora pistillata",3,"",19,19.9469,"10/05/2021",NA,NA,"","",20.1109,"18/05/2021","",NA,"","",20.1869,"25/05/2021","",NA,"","",20.2929,"7/06/2021","",NA,"","",NA,"20.3549","22/06/2021","","20.4128","5/07/2021","",NA,"",NA
224,18.7814,NA,"19°C/1",6,"Kelso","Pocillopora verrucosa",9,"",19,17.9071,"10/05/2021",NA,NA,"","",17.9733,"18/05/2021","",NA,"","",18.0113,"25/05/2021","",NA,"","",18.0387,"7/06/2021","",NA,"","",NA,"18.0655","22/06/2021","","18.0798","5/07/2021","",NA,"",NA
351,19.2282,NA,"19°C/1",7,"Kelso","Acropora hyacinthus",5,"",19,18.3907,"10/05/2021",NA,NA,"","",18.4384,"18/05/2021","",NA,"","",18.4476,"25/05/2021","",18.4331,"31/05/2021","Sampled due to algal growth",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
286,17.7916,NA,"19°C/1",8,"Kelso","Pocillopora verrucosa",10,"",19,23.0118,"10/05/2021",NA,NA,"","",23.0598,"18/05/2021","",23.0944,"24/05/2021","Sampled due to tissue sloughing",NA,"25/05/2021","",NA,"","",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
366,19.5906,NA,"19°C/1",9,"Kelso","Stylophora pistillata",4,"",19,15.1883,"10/05/2021",NA,NA,"","",15.3232,"18/05/2021","",NA,"","",15.4065,"25/05/2021","",NA,"","",15.5224,"7/06/2021","",NA,"","",NA,"15.6091","22/06/2021","","15.6462","5/07/2021","",NA,"",NA
105,19.3521,NA,"19°C/1",10,"Kelso","Acropora tenuis",6,"",19,16.1831,"10/05/2021",NA,NA,"","",16.2134,"18/05/2021","",16.2102,"20/05/2021","Sampled because it was dead/dying",NA,"25/05/2021","",NA,"","",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
30,19.4847,NA,"19°C/1",11,"Kelso","Stylophora pistillata",8,"",19,25.7839,"10/05/2021",NA,NA,"","",25.9273,"18/05/2021","",NA,"","",26.0344,"25/05/2021","",NA,"","",26.2274,"7/06/2021","",NA,"","",NA,"26.3648","22/06/2021","","26.4318","5/07/2021","",NA,"",NA
595,18.1118,NA,"19°C/1",14,"Kelso","Acropora tenuis",2,"",19,14.0027,"10/05/2021",NA,NA,"","",14.0581,"18/05/2021","",14.0987,"24/05/2021","Sampled because it was bleached and covered in algae. ",NA,"25/05/2021","",NA,"","",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
22,19.5076,NA,"19°C/1",17,"Kelso","Acropora hyacinthus",14,"",19,18.4005,"10/05/2021",NA,NA,"","",18.4487,"18/05/2021","",NA,"","",18.4711,"25/05/2021","",18.4757,"31/05/2021","Not sampled, weighted to match photogrammetry",18.4724,"7/06/2021","",NA,"","",NA,"18.4657","22/06/2021","",NA,"5/07/2021","",NA,"",NA
201,20.5884,NA,"19°C/1",18,"Kelso","Acropora tenuis",7,"",19,16.6574,"10/05/2021",NA,NA,"","",16.6826,"18/05/2021","Sampled on 18/05/21 because it was dead/dying",NA,"","",NA,"25/05/2021","",NA,"","",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
320,19.4751,NA,"19°C/2",1,"Kelso","Acropora hyacinthus",6,"",19,17.2742,"10/05/2021",NA,NA,"","",17.3471,"18/05/2021","",NA,"","",17.3785,"25/05/2021","",17.3795,"31/05/2021","Sampled due to algal growth",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
5,18.6382,NA,"19°C/2",2,"Kelso","Pocillopora verrucosa",11,"",19,21.1931,"10/05/2021",NA,NA,"","",21.2475,"18/05/2021","",NA,"","",21.2755,"25/05/2021","",NA,"","",21.2914,"7/06/2021","",NA,"","",NA,"21.9234","22/06/2021","","21.292","5/07/2021","",NA,"",NA
12,20.039,NA,"19°C/2",3,"Kelso","Acropora tenuis",5,"",19,14.0254,"10/05/2021",NA,NA,"","",14.0408,"18/05/2021","",NA,"","",14.0387,"25/05/2021","Sampled on 25/05/21 because it had started to die",NA,"","",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
622,18.8079,NA,"19°C/2",4,"Kelso","Stylophora pistillata",1,"",19,20.6229,"10/05/2021",NA,NA,"","",20.7422,"18/05/2021","",NA,"","",20.8294,"25/05/2021","",NA,"","",20.9684,"7/06/2021","",NA,"","",NA,"21.0764","22/06/2021","","21.1576","5/07/2021","",NA,"",NA
168,20.2964,NA,"19°C/2",5,"Kelso","Stylophora pistillata",7,"",19,31.2042,"10/05/2021",NA,NA,"","",31.4345,"18/05/2021","",NA,"","",31.6153,"25/05/2021","",NA,"","",31.8781,"7/06/2021","",NA,"","",NA,"32.106","22/06/2021","","32.2254","5/07/2021","",NA,"",NA
91,19.4305,NA,"19°C/2",7,"Kelso","Pocillopora verrucosa",13,"",19,22.2854,"10/05/2021",NA,NA,"","",22.3094,"18/05/2021","",22.3031,"24/05/2021","Sampled because it was dead/dying",NA,"25/05/2021","",NA,"","",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
178,18.6854,NA,"19°C/2",8,"Kelso","Acropora hyacinthus",2,"",19,16.5307,"10/05/2021",NA,NA,"","",16.5549,"18/05/2021","",NA,"","",16.5882,"25/05/2021","",16.5922,"28/05/2021","Sampled due to pale tissue and algal growth",NA,"7/06/2021","",NA,"","",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
70,19.3476,NA,"19°C/2",10,"Kelso","Acropora tenuis",13,"",19,15.8631,"10/05/2021",NA,NA,"","",15.8615,"18/05/2021","",NA,"","",15.9299,"25/05/2021","",15.9247,"31/05/2021","Not sampled, weighted to match photogrammetry",15.9068,"7/06/2021","",15.9075,"8/06/2021","Sampled due to bleaching and algal loss",NA,NA,"22/06/2021","",NA,"5/07/2021","",NA,"",NA
