Plug.ID.Number,Dry.weight,Wet.weight_time0,tank,position,Reef,Species,Colony,Notes_fragging,Temperature,Buoyant_weight_t0,Date_t0,Notes_t0,Buoyant_weight_t0_additional,Date_t0_additional,Notes_t0_additional,Buoyant_weight_t1,Date_t1,Notes_t1,Buoyant_weight_t1_additional,Date_t_1_additional,Notes_t_1_additional,Buoyant_weight_t2,Date_t2,Notes_t2,Buoyant_weight_t2_additional,Date_t2_additional,Notes_t2_additional,Buoyant_weight_t3,Date_t3,Notes_t3,Buoyant_weight_t3_additional,Date_t_3_additional,Notes_t_3_additional,,Buoyant_weight_t4,Date_t4,Notes_t4,Buoyant_weight_t4_additional,Date_t4_additional,Notes_t4_additional,Buoyant_weight_t5,Date_t5,Notes_t5
71,20.4214,,19°C/1,0,,,,,19,11.2071,10/05/2021,,,,,11.2361,18/05/2021,,,,,11.2551,25/05/2021,,,,,11.3011,7/06/2021,,,,,,11.3518,22/06/2021,,11.3584,5/07/2021,,,,
466,18.7811,NA,19°C/1,1,No Name Reef,Acropora hyacinthus,4,,19,16.1032,10/05/2021,,,,,16.1434,18/05/2021,,16.1379,21/05/2021,Sampled because it was covered in algae. I tried to get rid of most of it before weighting but perhaps the previous measurement is more reliable,NA,25/05/2021,,,,,NA,7/06/2021,,,,,,NA,22/06/2021,,NA,5/07/2021,,,,
503,19.4434,NA,19°C/1,2,No Name Reef,Pocillopora verrucosa,12,,19,20.7169,10/05/2021,,,,,20.7615,18/05/2021,Sampled on 18/05/21 because it was dead/dying,,,,NA,25/05/2021,,,,,NA,7/06/2021,,,,,,NA,22/06/2021,,NA,5/07/2021,,,,
194,18.4007,NA,19°C/1,3,Kelso,Acropora hyacinthus,10,,19,19.5281,10/05/2021,,,,,19.5556,18/05/2021,,19.5877,24/05/2021,Sampled because it was covered in algae and was starting to lose tissue,NA,25/05/2021,,,,,NA,7/06/2021,,,,,,NA,22/06/2021,,NA,5/07/2021,,,,
212,18.0853,NA,19°C/1,4,Kelso,Pocillopora verrucosa,12,,19,25.5646,10/05/2021,,,,,25.6172,18/05/2021,,,,,25.6425,25/05/2021,,,,,25.6843,7/06/2021,,,,,,25.7193,22/06/2021,,25.7326,5/07/2021,,,,
189,19.456,NA,19°C/1,5,Kelso,Stylophora pistillata,3,,19,19.9469,10/05/2021,,,,,20.1109,18/05/2021,,,,,20.1869,25/05/2021,,,,,20.2929,7/06/2021,,,,,,20.3549,22/06/2021,,20.4128,5/07/2021,,,,
224,18.7814,NA,19°C/1,6,Kelso,Pocillopora verrucosa,9,,19,17.9071,10/05/2021,,,,,17.9733,18/05/2021,,,,,18.0113,25/05/2021,,,,,18.0387,7/06/2021,,,,,,18.0655,22/06/2021,,18.0798,5/07/2021,,,,
351,19.2282,NA,19°C/1,7,Kelso,Acropora hyacinthus,5,,19,18.3907,10/05/2021,,,,,18.4384,18/05/2021,,,,,18.4476,25/05/2021,,18.4331,31/05/2021,Sampled due to algal growth,NA,7/06/2021,,,,,,NA,22/06/2021,,NA,5/07/2021,,,,
286,17.7916,NA,19°C/1,8,Kelso,Pocillopora verrucosa,10,,19,23.0118,10/05/2021,,,,,23.0598,18/05/2021,,23.0944,24/05/2021,Sampled due to tissue sloughing,NA,25/05/2021,,,,,NA,7/06/2021,,,,,,NA,22/06/2021,,NA,5/07/2021,,,,
366,19.5906,NA,19°C/1,9,Kelso,Stylophora pistillata,4,,19,15.1883,10/05/2021,,,,,15.3232,18/05/2021,,,,,15.4065,25/05/2021,,,,,15.5224,7/06/2021,,,,,,15.6091,22/06/2021,,15.6462,5/07/2021,,,,
105,19.3521,NA,19°C/1,10,Kelso,Acropora tenuis,6,,19,16.1831,10/05/2021,,,,,16.2134,18/05/2021,,16.2102,20/05/2021,Sampled because it was dead/dying,NA,25/05/2021,,,,,NA,7/06/2021,,,,,,NA,22/06/2021,,NA,5/07/2021,,,,
30,19.4847,NA,19°C/1,11,Kelso,Stylophora pistillata,8,,19,25.7839,10/05/2021,,,,,25.9273,18/05/2021,,,,,26.0344,25/05/2021,,,,,26.2274,7/06/2021,,,,,,26.3648,22/06/2021,,26.4318,5/07/2021,,,,
607,19.1175,NA,19°C/1,12,No Name Reef,Pocillopora verrucosa,14,,19,22.1351,10/05/2021,,,,,22.2144,18/05/2021,,,,,22.269,25/05/2021,,,,,22.3647,7/06/2021,,,,,,22.4415,22/06/2021,,22.4821,5/07/2021,,,,
