"Plug","Species","Reef","Colony","Temperature","Tank","Position","Dry_weight_plug","Wet_weight_plug","Initial_weight","Initial_day","Initial_notes","Final_weight","Final_day","Final_notes","Max_span","Time","Growth"
194,"Acropora hyacinthus","Kelso",10,19,"19°C/1",3,18.4007,9.44954151860177,49.8229557126579,0,NA,50.1195074367958,14,"Sampled because it was covered in algae and was starting to lose tissue","Y",14,0.216440371818834
212,"Pocillopora verrucosa","Kelso",12,19,"19°C/1",4,18.0853,9.33367922614011,25.7619484587838,0,NA,25.9524681618107,28,"","N",28,0.264121136605317
189,"Stylophora pistillata","Kelso",3,19,"19°C/1",5,19.456,9.83720631642924,27.7203481681635,0,NA,28.652327863595,28,"","N",28,1.20074210181747
224,"Pocillopora verrucosa","Kelso",9,19,"19°C/1",6,18.7814,9.58939178727695,13.2103317140891,0,NA,13.4167280590349,28,"","N",28,0.557994923466981
351,"Acropora hyacinthus","Kelso",5,19,"19°C/1",7,19.2282,9.75352391242555,42.6860312374369,0,NA,42.8837323868622,21,"Sampled due to algal growth","Y",21,0.16841885970577
286,"Pocillopora verrucosa","Kelso",10,19,"19°C/1",8,17.7916,9.22578843572797,21.8846991140355,0,NA,22.0117122493868,14,"Sampled due to tissue sloughing","Y",14,0.211045143606982
366,"Stylophora pistillata","Kelso",4,19,"19°C/1",9,19.5906,9.88665167015574,14.5370969447508,0,NA,15.4416654726695,28,"","N",28,2.22231570560639
105,"Acropora tenuis","Kelso",6,19,"19°C/1",10,19.3521,9.79903861767602,10.6978642504445,0,NA,10.7481601084327,10,"Sampled because it was dead/dying","Y",10,0.170963123821919
30,"Stylophora pistillata","Kelso",8,19,"19°C/1",11,19.4847,9.8477492707528,43.6721593593578,0,NA,44.9056618974289,28,"","N",28,1.00873560456376
595,"Acropora tenuis","Kelso",2,19,"19°C/1",14,18.1118,9.34341400974897,7.80689958917826,0,NA,7.97455244913881,14,"Sampled because it was bleached and covered in algae. ","Y",14,0.780907652940732
