"month_day","median","upr","lwr"
"01-01",28.0322222222222,28.3952008090278,27.5700729166666
"01-02",28.0378191319444,28.4640833333333,27.5357291666667
"01-03",28.2064583333333,28.4767190486111,27.6530614583333
"01-04",28.1526445972222,28.5533720972222,27.6721666666666
"01-05",28.4129166666667,28.7407125659722,27.7403645833333
"01-06",28.1697916666667,28.91679765625,27.84490625
"01-07",28.1964583333333,28.98621875,27.9398107013889
"01-08",28.31375,29.0346319444444,27.9826289722222
"01-09",28.3990625,28.9407876319444,28.1207781944444
"01-10",28.420625,28.9084322916666,28.2856752673611
"01-11",28.3986012708333,28.9019053506944,28.1675409236111
"01-12",28.3721340138889,29.0363020833334,28.2154027118055
"01-13",28.3642291666667,28.9214001631944,28.2368642361111
"01-14",28.4110416666667,28.9170938541667,28.22271128125
"01-15",28.4389166666667,28.8322220381945,28.13981875
"01-16",28.3676875,28.7396770833334,28.0857291666667
"01-17",28.4947704861111,28.7583174027777,28.0094791666667
"01-18",28.5779166666667,28.7871188645833,27.9435416666667
"01-19",28.3847771875,28.8955992881945,27.9204479166667
"01-20",28.2692291666667,28.7887156319444,27.9722916666666
"01-21",28.3169070694444,28.7215798611111,28.0252083333333
"01-22",28.3133641944444,28.8189131944444,28.049375
"01-23",28.33625,28.8625659722222,28.1577359027778
"01-24",28.5985416666667,28.9661458333333,28.2450102986111
"01-25",28.783125,28.9880416666666,28.24057040625
"01-26",28.8464583333333,29.0894895833333,28.2565178888889
"01-27",28.6590277777778,28.9184375,28.356375
"01-28",28.6261180486111,28.9318645833334,28.5040277777778
"01-29",28.8416458333333,29.0130625,28.5091319444444
"01-30",28.7609221180556,29.11415625,28.4377291666667
"01-31",28.9095523333333,29.1853541666666,28.3910602673611
"02-01",28.9399375,29.1614791666667,28.4234930555556
"02-02",28.93875,29.40703125,28.4179791666667
"02-03",28.97875,29.5118270694445,28.41179515625
"02-04",28.8695833333333,29.3096311713948,28.4071249131945
"02-05",28.8470833333333,29.2121527777778,28.2295520833333
"02-06",28.7797916666667,29.3430555555556,27.9145861458334
"02-07",28.751875,29.2052430555555,27.9870007256945
"02-08",28.8258333333333,29.4520833333333,27.9795180625
"02-09",28.8575,29.5270833333334,28.0238441076389
"02-10",29.0054166666667,29.3575,28.09049471875
"02-11",28.7954166666667,29.4604583333333,28.1311785520833
"02-12",28.5863194444444,29.3599166666666,28.2668125
"02-13",28.66125,29.3507291666666,28.3014510416667
"02-14",28.7175,29.319375,28.4196083333334
"02-15",28.6722971180556,29.3119236111111,28.45915625
"02-16",28.6941873333333,29.3716493055556,28.5617809652778
"02-17",28.6848786458333,29.2107743055555,28.54335865625
"02-18",28.7291991597222,29.10825,28.5811208298611
"02-19",28.766875,29.32596875,28.59753125
"02-20",28.7824791666667,29.1784791666666,28.6284375
"02-21",28.923875,29.1972180173611,28.53336696875
"02-22",28.8950349305556,29.23953125,28.5003499340278
